datetime,open,high,low,close,volume
2023-09-12 00:00:00+02:00,25158.91,25160.41,25158.91,25160.41,0.01323
2023-09-12 00:00:01+02:00,25160.27,25160.45,25160.27,25160.45,0.06846
2023-09-12 00:00:02+02:00,25158.91,25160.45,25157.95,25160.45,0.08164
2023-09-12 00:00:03+02:00,25158.21,25159.51,25154.91,25159.51,6.18308
2023-09-12 00:00:04+02:00,25157.95,25160.24,25157.95,25160.24,0.06988
2023-09-12 00:00:05+02:00,25156.49,25156.94,25156.33,25156.82,0.01854
2023-09-12 00:00:06+02:00,25158.02,25158.09,25158.02,25158.04,0.01051
2023-09-12 00:00:07+02:00,25157.91,25157.91,25157.91,25157.91,0.00369
2023-09-12 00:00:08+02:00,25159.95,25160.91,25159.95,25160.91,0.22731
2023-09-12 00:00:09+02:00,25160.91,25160.91,25160.91,25160.91,0.0
2023-09-12 00:00:10+02:00,25160.86,25160.9,25160.86,25160.9,0.03
2023-09-12 00:00:11+02:00,25158.01,25158.01,25158.01,25158.01,0.00317
2023-09-12 00:00:12+02:00,25158.01,25158.01,25158.01,25158.01,0.0
2023-09-12 00:00:13+02:00,25158.09,25158.09,25158.09,25158.09,0.00297
2023-09-12 00:00:14+02:00,25158.14,25158.14,25158.13,25158.13,0.05008
2023-09-12 00:00:15+02:00,25158.09,25158.09,25158.09,25158.09,0.001
2023-09-12 00:00:16+02:00,25157.95,25157.95,25154.99,25155.95,0.059
2023-09-12 00:00:17+02:00,25154.52,25156.92,25154.52,25156.92,0.00262
2023-09-12 00:00:18+02:00,25156.92,25156.92,25156.92,25156.92,0.0
2023-09-12 00:00:19+02:00,25155.97,25155.97,25155.81,25155.81,0.00328
2023-09-12 00:00:20+02:00,25155.81,25155.81,25155.81,25155.81,0.0
2023-09-12 00:00:21+02:00,25153.95,25153.95,25153.95,25153.95,0.00028
2023-09-12 00:00:22+02:00,25153.95,25153.95,25151.98,25151.98,0.18383
2023-09-12 00:00:23+02:00,25151.98,25151.98,25151.98,25151.98,0.0
2023-09-12 00:00:24+02:00,25151.98,25151.98,25151.98,25151.98,0.001
2023-09-12 00:00:25+02:00,25155.6,25156.92,25155.6,25155.94,0.53872
2023-09-12 00:00:26+02:00,25155.94,25155.94,25155.94,25155.94,0.0
2023-09-12 00:00:27+02:00,25155.64,25155.64,25155.64,25155.64,0.00028
2023-09-12 00:00:28+02:00,25155.64,25155.64,25153.71,25153.71,0.004
2023-09-12 00:00:29+02:00,25155.95,25155.95,25155.95,25155.95,0.00143
2023-09-12 00:00:30+02:00,25155.95,25155.95,25155.95,25155.95,0.0
2023-09-12 00:00:31+02:00,25155.95,25155.95,25155.95,25155.95,0.0
2023-09-12 00:00:32+02:00,25155.95,25155.95,25155.95,25155.95,0.0
2023-09-12 00:00:33+02:00,25155.95,25155.95,25155.95,25155.95,0.0
2023-09-12 00:00:34+02:00,25155.95,25155.95,25155.95,25155.95,0.0
2023-09-12 00:00:35+02:00,25155.95,25155.95,25155.95,25155.95,0.0
2023-09-12 00:00:36+02:00,25155.65,25155.65,25155.65,25155.65,0.00962
2023-09-12 00:00:37+02:00,25155.65,25155.65,25155.65,25155.65,0.0
2023-09-12 00:00:38+02:00,25155.65,25155.65,25154.16,25154.16,0.00958
2023-09-12 00:00:39+02:00,25154.17,25154.17,25154.17,25154.17,0.00279
2023-09-12 00:00:40+02:00,25154.17,25154.17,25154.17,25154.17,0.0
2023-09-12 00:00:41+02:00,25154.17,25154.17,25154.17,25154.17,0.0
2023-09-12 00:00:42+02:00,25154.17,25154.17,25154.17,25154.17,0.0
2023-09-12 00:00:43+02:00,25154.45,25154.45,25154.45,25154.45,0.00262
2023-09-12 00:00:44+02:00,25154.45,25154.45,25154.45,25154.45,0.0
2023-09-12 00:00:45+02:00,25154.45,25154.45,25154.45,25154.45,0.0
2023-09-12 00:00:46+02:00,25154.45,25154.45,25154.45,25154.45,0.0
2023-09-12 00:00:47+02:00,25154.45,25154.45,25154.45,25154.45,0.0
2023-09-12 00:00:48+02:00,25154.45,25154.45,25154.45,25154.45,0.0
2023-09-12 00:00:49+02:00,25154.45,25154.45,25154.45,25154.45,0.0
2023-09-12 00:00:50+02:00,25154.45,25154.45,25154.45,25154.45,0.0
2023-09-12 00:00:51+02:00,25154.45,25154.45,25154.45,25154.45,0.0
2023-09-12 00:00:52+02:00,25157.21,25157.24,25157.21,25157.24,0.19038
2023-09-12 00:00:53+02:00,25157.24,25157.24,25157.24,25157.24,0.0
2023-09-12 00:00:54+02:00,25157.24,25157.24,25157.24,25157.24,0.0
2023-09-12 00:00:55+02:00,25156.72,25156.74,25156.72,25156.74,0.01024
2023-09-12 00:00:56+02:00,25156.74,25156.74,25156.74,25156.74,0.0
2023-09-12 00:00:57+02:00,25156.73,25156.74,25156.73,25156.74,0.00178
2023-09-12 00:00:58+02:00,25156.74,25156.74,25156.74,25156.74,0.0
2023-09-12 00:00:59+02:00,25156.74,25156.74,25156.74,25156.74,0.0
2023-09-12 00:01:00+02:00,25154.75,25154.75,25154.75,25154.75,0.008
2023-09-12 00:01:01+02:00,25154.75,25154.75,25154.75,25154.75,0.0
2023-09-12 00:01:02+02:00,25154.75,25154.75,25154.75,25154.75,0.00083
2023-09-12 00:01:03+02:00,25154.75,25154.75,25154.75,25154.75,0.0
2023-09-12 00:01:04+02:00,25156.63,25156.72,25156.63,25156.72,0.0025
2023-09-12 00:01:05+02:00,25156.72,25156.72,25156.72,25156.72,0.0
2023-09-12 00:01:06+02:00,25156.72,25156.72,25156.72,25156.72,0.0
2023-09-12 00:01:07+02:00,25156.72,25156.74,25156.72,25156.74,0.11256
2023-09-12 00:01:08+02:00,25154.83,25154.83,25154.83,25154.83,0.008
2023-09-12 00:01:09+02:00,25154.83,25154.83,25154.83,25154.83,0.0
2023-09-12 00:01:10+02:00,25154.83,25154.83,25154.83,25154.83,0.00276
2023-09-12 00:01:11+02:00,25154.83,25154.83,25154.83,25154.83,0.0
2023-09-12 00:01:12+02:00,25156.74,25156.87,25154.84,25156.85,0.06497
2023-09-12 00:01:13+02:00,25156.85,25156.85,25156.85,25156.85,0.00056
2023-09-12 00:01:14+02:00,25156.85,25156.85,25156.85,25156.85,0.0
2023-09-12 00:01:15+02:00,25156.85,25156.85,25156.85,25156.85,0.0
2023-09-12 00:01:16+02:00,25156.85,25156.85,25156.85,25156.85,0.0
2023-09-12 00:01:17+02:00,25156.85,25156.85,25156.85,25156.85,0.0
2023-09-12 00:01:18+02:00,25154.84,25154.84,25154.82,25154.82,0.06103
2023-09-12 00:01:19+02:00,25154.14,25154.14,25153.95,25153.95,0.24036
2023-09-12 00:01:20+02:00,25155.95,25156.44,25155.95,25156.44,0.01445
2023-09-12 00:01:21+02:00,25156.44,25156.44,25156.44,25156.44,0.0
2023-09-12 00:01:22+02:00,25156.44,25156.44,25156.44,25156.44,0.0
2023-09-12 00:01:23+02:00,25156.44,25156.44,25156.44,25156.44,0.0
2023-09-12 00:01:24+02:00,25156.44,25156.44,25156.44,25156.44,0.01
2023-09-12 00:01:25+02:00,25156.44,25156.44,25156.44,25156.44,0.0
2023-09-12 00:01:26+02:00,25154.14,25154.14,25154.14,25154.14,0.12036
2023-09-12 00:01:27+02:00,25154.14,25154.14,25154.14,25154.14,0.0
2023-09-12 00:01:28+02:00,25154.14,25154.14,25154.14,25154.14,0.0
2023-09-12 00:01:29+02:00,25154.14,25154.14,25154.14,25154.14,0.00124
2023-09-12 00:01:30+02:00,25156.44,25156.44,25156.44,25156.44,0.0128
2023-09-12 00:01:31+02:00,25156.44,25156.44,25156.44,25156.44,0.0
2023-09-12 00:01:32+02:00,25156.44,25156.44,25156.44,25156.44,0.0
2023-09-12 00:01:33+02:00,25156.44,25156.44,25156.44,25156.44,0.0
